school ,sex ,age?,address ,famsize ,Pstatus ,Medu ,,school ,,sex ,,,,address ,,famsize ,,Pstatus ,,
GP,F,15->22,U,LE3,T,0->4,,GP,1,F,1,,,U,1,LE3,1,T,,
MS,M,,R,GT3,A,,,MS,2,M,2,,,R,2,GT3,2,A,,
traveltime?,studytime ,failures ,schoolsup?,famsup ,paid ,activities ,,,,,,,,,,,,,,
1->2,1->10,1->3,yes/no,yes/no,yes/no,yes/no,,,,,,,,,,,,,,
higher,internet ,romantic ,famrel?,freetime,goout ,Dalc?,,,,,,,,,,,,,,
yes/no,yes/no,yes/no,1->5,1->5,1->5,1->5,,,,,,,,,,,,,,
Mjob ,Fjob ,reason ,guardian?,Fedu ,nursery?,absences?,,Mjob ,,Fjob ,,reason ,,guardian?,,,,,,
teacher,teacher,home,mother,0->4,yes/no,0->93,,teacher,,teacher,,home,,mother,,,,,,
health,health,reputation,father,Walc?,health ,,,health,,health,,reputation,,father,,,,,,
services,services,course,other,1->5,1->5,,,services,,services,,course,,other,,,,,,
at_home,at_home,other,,,,,,at_home,,at_home,,other,,,,,,,,
